Type,Station,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Total
BTS,Khu Khot,116223,152642,215605,130172,92050,122733,87741,75833,70473,152162,125468,133078," 1,474,180 "
BTS,Yaek Kor Por Aor,69741,96624,146298,83833,56298,76354,51676,43791,42652,96023,83683,94806," 941,779 "
BTS,Royal Thai Air Force,19070,31645,41734,20489,14187,18889,13527,11598,10697,22758,19661,22362," 246,617 "
BTS,Bhumibol Adulyadej Hospital,33038,39238,56542,31113,21529,28586,20833,17895,15439,28880,23943,25236," 342,272 "
BTS,Saphan Mai,121904,155860,205885,130152,89167,107596,82556,78423,67341,135417,106939,118439," 1,399,679 "
BTS,Sai Yud,87816,111931,153848,92476,67506,85083,63294,53801,48880,99774,82885,89242," 1,036,536 "
BTS,Phahon Yothin 59,46773,59189,81213,49989,35928,44150,33291,28217,25809,51266,41582,47757," 545,164 "
BTS,Wat Phra Sri Mahathat,104560,152837,199090,101747,65330,85958,62390,51787,48710,103426,89905,101869," 1,167,609 "
BTS,11th Infantry Regiment,86259,113248,157343,85927,55273,72424,50382,42522,39151,79163,67327,74169," 923,188 "
BTS,Bang Bua,56858,76192,137530,61013,36948,47693,34541,27092,26881,52096,43522,51248," 651,614 "
BTS,Royal Forest Department,54968,84210,117491,55527,33270,41780,29136,24174,23144,47394,40351,56877," 608,322 "
BTS,Kasetsart University,143189,195767,288991,138474,78771,112870,76213,58529,60866,125518,128528,145992," 1,553,708 "
BTS,Sena Nikhom,192214,240449,324601,180674,116283,150076,100440,81282,80018,168170,144210,170864," 1,949,281 "
BTS,Ratchayothin,159794,195457,281515,156539,90985,118164,75757,58038,62230,147482,130483,152919," 1,629,363 "
BTS,Phahon Yothin 24,75397,101333,136355,71187,48931,60548,42895,37552,33496,67124,58548,63064," 796,430 "
BTS,Ha Yaek Lat Phao,347484,457694,634465,351968,205493,289472,164697,106004,166098,382287,303670,355361," 3,764,693 "
BTS,Mo Chit,445636,578511,825259,447882,260803,348480,221314,176778,182331,413788,348459,403890," 4,653,131 "
BTS,Saphan Khwai,121605,145740,198837,106643,70820,88892,59970,50599,47399,98497,81770,91762," 1,162,534 "
BTS,Ari,195445,253261,366769,168567,96875,132935,82296,70281,64541,142792,130359,141565," 1,845,686 "
BTS,Sanam Pao,55209,68987,97541,50267,33306,44622,32771,29114,24363,48301,43763,45967," 574,211 "
BTS,Victory Monument,315193,411273,580187,312262,195053,265126,168709,138367,138931,297152,249453,273258," 3,344,964 "
BTS,Phaya Thai,217268,291933,431367,226642,124998,164667,105675,89208,84789,187749,164736,184679," 2,273,711 "
BTS,Ratchathewi,102501,131532,187106,98177,59733,77119,47798,40326,40084,85808,75574,94491," 1,040,249 "
BTS,Siam,483087,703134,1015332,523592,265537,365813,183064,126426,236881,575183,441095,560679," 5,479,823 "
BTS,Chit Lom,255748,320247,445308,240322,150562,191779,115403,88209,108125,225142,195679,240304," 2,576,828 "
BTS,Phloen Chit,222088,263617,384947,197803,128958,163920,107558,88818,83135,162430,146557,157097," 2,106,928 "
BTS,Nana,89853,106431,148817,87583,60956,73326,52165,45736,40767,79796,72541,94346," 952,317 "
BTS,Asok,491826,637067,902968,460036,284923,368355,231256,179973,196251,425646,377794,442385," 4,998,480 "
BTS,Phrom Phong,307499,387982,515544,285429,195282,235702,147165,108246,133310,278328,236747,281330," 3,112,564 "
BTS,Thong Lo,186158,233784,308672,164297,111945,138445,95743,76308,74707,157078,133722,153609," 1,834,468 "
BTS,Ekkamai,163143,230923,309767,162697,97997,126915,78185,58651,66950,154782,138069,156280," 1,744,359 "
BTS,Phra Khanong,164535,196389,257102,155670,108209,129705,88094,71618,70187,137831,114345,125911," 1,619,596 "
BTS,On Nut,374739,446310,587289,349955,248474,300402,209218,169158,162806,319389,261080,283718," 3,712,538 "
BTS,Bang Chak,132082,159067,210307,124456,92925,107662,79166,63940,57047,111330,90944,97498," 1,326,424 "
BTS,Punawithi,137330,178986,244958,129042,88898,107485,72944,60793,56767,116641,99059,107732," 1,400,635 "
BTS,Udom Suk,278098,345173,459681,267081,185963,225138,153682,125303,119241,237827,196543,215683," 2,809,413 "
BTS,Bang Na,118399,159271,254052,121099,73797,93766,62950,53648,50905,107160,95401,114368," 1,304,816 "
BTS,Bearing,243556,296794,391295,229563,176689,208276,154376,129349,111771,213297,176097,185300," 2,516,363 "
BTS,Samrong,249776,327263,422220,271191,183621,202991,150943,126896,120864,237802,177093,193629," 2,664,289 "
BTS,Pu Chao,76836,90437,115969,75997,59989,65006,49945,43053,38089,68194,53272,56277," 793,064 "
BTS,Chang Erawan,72489,89855,117649,73208,56124,61983,47709,40703,35367,66952,51875,55954," 769,868 "
