Travel Mode,Purpose,Public Mode,Vehicle,Month,Unit,Quantity,Day,Month,Year
Road ,Provincial ,Public,รถ ขบส. และ รถร่วม,1-Jan-20,Person,"233,330",1,Jan,2020
Road ,Provincial ,Private,รถยนต์เฉพาะ 4 ล้อ (10 จุดสำรวจ),1-Jan-20,Unit,"977,347",1,Jan,2020
Road ,Provincial ,Private,รถยนต์ทุกประเภท (10 จุดสำรวจ),1-Jan-20,Unit,"1,072,314",1,Jan,2020
Road ,Provincial ,Private,รถยนต์เฉพาะ 4 ล้อ (ทางด่วน),1-Jan-20,Unit,"1,333,059",1,Jan,2020
Road ,Provincial ,Private,รถยนต์ทุกประเภท (ทางด่วน),1-Jan-20,Unit,"1,353,179",1,Jan,2020
Road ,Bangkok ,Public,รถเมล์ ขสมก.,1-Jan-20,Person,"785,727",1,Jan,2020
Road ,Bangkok ,Public,รถร่วม (หมวด 1),1-Jan-20,Person,"464,198",1,Jan,2020
Waterway,Bangkok ,Public,เรือด่วนเจ้าพระยา,1-Jan-20,Person,"29,518",1,Jan,2020
Waterway,Bangkok ,Public,เรือคลองแสนแสบ,1-Jan-20,Person,"20,420",1,Jan,2020
Waterway,Bangkok ,Public,เรือภูมิภาค,1-Jan-20,Person,"222,640",1,Jan,2020
Rail,Provincial ,Public,Train,1-Jan-20,Person,"115,975",1,Jan,2020
Rail,Bangkok ,Public,Blue Line MRT,1-Jan-20,Person,"236,053",1,Jan,2020
Rail,Bangkok ,Public,Purple Line MRT,1-Jan-20,Person,"23,135",1,Jan,2020
Rail,Bangkok ,Public,Airport Rail Link,1-Jan-20,Person,"48,790",1,Jan,2020
Rail,Bangkok ,Public,BTS Skytrain,1-Jan-20,Person,"461,400",1,Jan,2020
Road ,Provincial ,Public,รถ ขบส. และ รถร่วม,2-Jan-20,Person,"252,899",2,Jan,2020
Road ,Provincial ,Private,รถยนต์เฉพาะ 4 ล้อ (10 จุดสำรวจ),2-Jan-20,Unit,"987,340",2,Jan,2020
