Year,Month,Passenger,MRT,,,,
2560,Jan,"8,531,801",MRT BLUE LINE,,,,
2560,Feb,"8,397,224",MRT BLUE LINE,,,,
2560,Mar,"9,561,089",MRT BLUE LINE,,,,
2560,Apr,"7,983,249",MRT BLUE LINE,,,,
2560,May,"8,500,034",MRT BLUE LINE,,,,
2560,Jun,"9,077,038",MRT BLUE LINE,,,,
2560,Jul,"8,743,210",MRT BLUE LINE,,,,
2560,Aug,"9,726,678",MRT BLUE LINE,,,,
2560,Sep,"9,594,712",MRT BLUE LINE,,,,
2560,Oct,"9,003,734",MRT BLUE LINE,,,,
2560,Nov,"9,668,809",MRT BLUE LINE,,,,
2560,Dec,"8,753,200",MRT BLUE LINE,,,,
2561,Jan,"9,269,590",MRT BLUE LINE,,,,
2561,Feb,"9,059,167",MRT BLUE LINE,,,,
2561,Mar,"9,775,861",MRT BLUE LINE,,,,
2561,Apr,"8,339,697",MRT BLUE LINE,,,,
2561,May,"9,141,949",MRT BLUE LINE,,,,
2561,Jun,"9,493,263",MRT BLUE LINE,,,,
2561,Jul,"9,335,146",MRT BLUE LINE,,,,
2561,Aug,"10,261,136",MRT BLUE LINE,,,,
2561,Sep,"9,759,838",MRT BLUE LINE,,,,
2561,Oct,"9,953,696",MRT BLUE LINE,,,,
2561,Nov,"10,284,189",MRT BLUE LINE,,,,
2561,Dec,"9,037,803",MRT BLUE LINE,,,,
2562,Jan,"9,822,359",MRT BLUE LINE,,,,
2562,Feb,"9,007,716",MRT BLUE LINE,,,,
2562,Mar,"10,245,277",MRT BLUE LINE,,,,
2562,Apr,"8,899,237",MRT BLUE LINE,,,,
2562,May,"8,760,688",MRT BLUE LINE,,,,
2562,Jun,"9,351,640",MRT BLUE LINE,,,,
2562,Jul,"9,879,495",MRT BLUE LINE,,,,
2562,Aug,"11,110,334",MRT BLUE LINE,,,,
2562,Sep,"11,515,694",MRT BLUE LINE,,,,
2562,Oct,"11,636,289",MRT BLUE LINE,,,,
2562,Nov,"12,383,008",MRT BLUE LINE,,,,
2562,Dec,"11,009,848",MRT BLUE LINE,,,,
2563,Jan,"12,364,467",MRT BLUE LINE,,,,
2563,Feb,"10,651,705",MRT BLUE LINE,,,,
2563,Mar,"7,376,598",MRT BLUE LINE,,,,
2563,Apr,"2,354,680",MRT BLUE LINE,,,,
2563,May,"3,682,817",MRT BLUE LINE,,,,
2563,Jun,"6,080,460",MRT BLUE LINE,,,,
2563,Jul,"7,854,425",MRT BLUE LINE,,,,
2563,Aug,"8,931,350",MRT BLUE LINE,,,,
2563,Sep,"9,309,907",MRT BLUE LINE,,,,
2563,Oct,"9,297,835",MRT BLUE LINE,,,,
2563,Nov,"9,352,565",MRT BLUE LINE,,,,
2563,Dec,"8,341,723",MRT BLUE LINE,,,,
2564,Jan,"4,688,335",MRT BLUE LINE,,,,
2564,Feb,"6,093,370",MRT BLUE LINE,,,,
2564,Mar,"8,450,658",MRT BLUE LINE,,,,
2564,Apr,"4,406,056",MRT BLUE LINE,,,,
2564,May,"2,800,713",MRT BLUE LINE,,,,
2564,Jun,"3,628,010",MRT BLUE LINE,,,,
2564,Jul,"2,393,607",MRT BLUE LINE,,,,
2564,Aug,"1,934,287",MRT BLUE LINE,,,,
2564,Sep,"3,003,451",MRT BLUE LINE,,,,
2564,Oct,"4,212,443",MRT BLUE LINE,,,,
2564,Nov,"5,603,480",MRT BLUE LINE,,,,
2564,Dec,"6,315,025",MRT BLUE LINE,,,,
2560,Jan," 563,901 ",MRT PURPLE LINE,,,,
2560,Feb," 534,359 ",MRT PURPLE LINE,,,,
2560,Mar," 598,245 ",MRT PURPLE LINE,,,,
2560,Apr," 475,645 ",MRT PURPLE LINE,,,,
2560,May," 58,295 ",MRT PURPLE LINE,,,,
2560,Jun," 514,898 ",MRT PURPLE LINE,,,,
2560,Jul," 460,106 ",MRT PURPLE LINE,,,,
2560,Aug," 477,022 ",MRT PURPLE LINE,,,,
2560,Sep," 442,910 ",MRT PURPLE LINE,,,,
2560,Oct," 378,251 ",MRT PURPLE LINE,,,,
2560,Nov," 441,033 ",MRT PURPLE LINE,,,,
2560,Dec," 381,704 ",MRT PURPLE LINE,,,,
2561,Jan," 402,984 ",MRT PURPLE LINE,,,,
2561,Feb," 372,304 ",MRT PURPLE LINE,,,,
2561,Mar," 375,720 ",MRT PURPLE LINE,,,,
2561,Apr," 314,020 ",MRT PURPLE LINE,,,,
2561,May," 361,969 ",MRT PURPLE LINE,,,,
2561,Jun," 397,546 ",MRT PURPLE LINE,,,,
2561,Jul," 400,275 ",MRT PURPLE LINE,,,,
2561,Aug," 424,600 ",MRT PURPLE LINE,,,,
2561,Sep," 390,965 ",MRT PURPLE LINE,,,,
2561,Oct," 378,014 ",MRT PURPLE LINE,,,,
2561,Nov," 393,463 ",MRT PURPLE LINE,,,,
2561,Dec," 345,644 ",MRT PURPLE LINE,,,,
2562,Jan," 391,013 ",MRT PURPLE LINE,,,,
2562,Feb," 341,865 ",MRT PURPLE LINE,,,,
2562,Mar," 369,972 ",MRT PURPLE LINE,,,,
2562,Apr," 318,183 ",MRT PURPLE LINE,,,,
2562,May," 366,425 ",MRT PURPLE LINE,,,,
2562,Jun," 391,409 ",MRT PURPLE LINE,,,,
2562,Jul," 432,004 ",MRT PURPLE LINE,,,,
2562,Aug," 437,783 ",MRT PURPLE LINE,,,,
2562,Sep," 422,684 ",MRT PURPLE LINE,,,,
2562,Oct," 398,595 ",MRT PURPLE LINE,,,,
2562,Nov," 403,782 ",MRT PURPLE LINE,,,,
2562,Dec," 376,068 ",MRT PURPLE LINE,,,,
2563,Jan," 416,471 ",MRT PURPLE LINE,,,,
2563,Feb," 371,586 ",MRT PURPLE LINE,,,,
2563,Mar," 283,158 ",MRT PURPLE LINE,,,,
2563,Apr," 120,325 ",MRT PURPLE LINE,,,,
2563,May," 148,373 ",MRT PURPLE LINE,,,,
2563,Jun," 202,131 ",MRT PURPLE LINE,,,,
2563,Jul," 272,115 ",MRT PURPLE LINE,,,,
2563,Aug," 305,388 ",MRT PURPLE LINE,,,,
2563,Sep," 314,260 ",MRT PURPLE LINE,,,,
2563,Oct," 309,305 ",MRT PURPLE LINE,,,,
2563,Nov," 293,687 ",MRT PURPLE LINE,,,,
2563,Dec," 269,651 ",MRT PURPLE LINE,,,,
2564,Jan," 168,097 ",MRT PURPLE LINE,,,,
2564,Feb," 198,554 ",MRT PURPLE LINE,,,,
2564,Mar," 267,444 ",MRT PURPLE LINE,,,,
2564,Apr," 148,110 ",MRT PURPLE LINE,,,,
2564,May," 111,166 ",MRT PURPLE LINE,,,,
2564,Jun," 128,850 ",MRT PURPLE LINE,,,,
2564,Jul," 133,455 ",MRT PURPLE LINE,,,,
2564,Aug," 102,424 ",MRT PURPLE LINE,,,,
2564,Sep," 99,420 ",MRT PURPLE LINE,,,,
2564,Oct," 233,430 ",MRT PURPLE LINE,,,,
2564,Nov," 143,490 ",MRT PURPLE LINE,,,,
2564,Dec," 156,705 ",MRT PURPLE LINE,,,,
