Type of traveling,Objective,Public/Private,Organization,Type of vehicle,Date,Unit,Total
road,Inter-provincial travel,Public,บขส.,Buses and Shared Buses,1/1/2025,people,"127,551"
road,Inter-provincial travel,Public,ขบ.,Car Category 3,1/1/2025,people,"8,218"
road,Inter-provincial travel,Private,ทล.,4-wheel vehicles (10 survey points),1/1/2025,Units,
road,Inter-provincial travel,Private,ทล.,All types of vehicles (10 survey points),1/1/2025,Units,"1,495,482"
road,Inter-provincial travel,Private,กทพ.,4-wheel vehicles (expressway),1/1/2025,Units,"1,364,992"
road,Inter-provincial travel,Private,กทพ.,All types of vehicles (expressway),1/1/2025,Units,"979,129"
road,within Bangkok,Public,ขบ.,Category 4,1/1/2025,people,"1,079"
road,within Bangkok,Public,ขสมก.,BMTA buses,1/1/2025,people,"406,034"
road,within Bangkok,Public,ขสมก.,Shared buses (Category 1),1/1/2025,people,0
road,within Bangkok,Public,ขบ.,Private buses on the Pataprom route (Category 1),1/1/2025,people,"255,236"
River,within Bangkok,Public,จท.,Chao Phraya Express Boat,1/1/2025,people,"6,893"
River,within Bangkok,Public,จท.,Saen Saep Canal Boat,1/1/2025,people,"7,281"
River,within Bangkok,Public,จท.,Chao Phraya Ferry,1/1/2025,people,"22,870"
River,within Bangkok,Public,จท.,Chao Phraya Electric Boat,1/1/2025,people,"3,705"
River,within Bangkok,Public,จท.,Regional boats,1/1/2025,people,"225,179"
Railway,Inter-provincial travel,Public,รฟท.,Trains,1/1/2025,people,"106,219"
Railway,within Bangkok,Public,รฟม.,Blue Line electric trains,1/1/2025,people,"286,892"
Railway,within Bangkok,Public,รฟม.,Purple Line electric trains,1/1/2025,people,"34,063"
Railway,within Bangkok,Public,รฟม.,Yellow Line electric trains,1/1/2025,people,"29,490"
Railway,within Bangkok,Public,รฟม.,Pink Line electric trains,1/1/2025,people,"33,320"
Railway,within Bangkok,Public,รฟฟท.,ARL electric trains,1/1/2025,people,"52,281"
Railway,within Bangkok,Public,กทม.,BTS electric trains,1/1/2025,people,"517,968"
Railway,within Bangkok,Public,รฟฟท.,Red Line electric trains,1/1/2025,people,"24,507"
Air,Inter-provincial travel,Public,ทอท.,Suvarnabhumi Airport,1/1/2025,people,"18,564"
Air,Inter-provincial travel,Public,ทอท.,Don Mueang Airport,1/1/2025,people,"31,842"
Air,Inter-provincial travel,Public,ทอท.,Other AOT airports,1/1/2025,people,"28,425"
Air,Inter-provincial travel,Public,ทย.,Regional airports,1/1/2025,people,"20,579"
Air,Inter-provincial travel,Public,กพท.,U-Tapao Airport,1/1/2025,people,137
Air,Inter-provincial travel,Public,กพท.,Samui Airport,1/1/2025,people,"4,155"
road,International traveling,Public,บขส.,Bus Inbound,1/1/2025,people,"1,315"
road,International traveling,Public,บขส.,Bus Outbound,1/1/2025,people,879
Railway,International traveling,Public,รฟท.,Train Inbound,1/1/2025,people,431
Railway,International traveling,Public,รฟท.,Train Outbound,1/1/2025,people,478
River,International traveling,Public,จท.,Border Port Inbound,1/1/2025,people,"2,911"
River,International traveling,Public,จท.,Border Port Outbound,1/1/2025,people,"3,094"
Air,International traveling,Public,ทอท.,Suvarnabhumi Airport Inbound,1/1/2025,people,"81,222"
Air,International traveling,Public,ทอท.,Suvarnabhumi Airport Outbound,1/1/2025,people,"69,271"
Air,International traveling,Public,ทอท.,Don Mueang Airport Inbound,1/1/2025,people,"22,430"
Air,International traveling,Public,ทอท.,Don Mueang Airport Outbound,1/1/2025,people,"22,056"
Air,International traveling,Public,ทอท.,Other AOT Airports Inbound,1/1/2025,people,"23,642"
Air,International traveling,Public,ทอท.,Other AOT Airports Outbound,1/1/2025,people,"22,616"
Air,International traveling,Public,ทย.,Regional Airports Inbound,1/1/2025,people,"1,344"
Air,International traveling,Public,ทย.,Regional Airports Outbound,1/1/2025,people,"1,471"
